hh_g02,unit,region,kg_convwt0,kg_convwt1
305,4,2,,3.727
305,4,3,,3.727
305,6,1,.07,
305,6,2,.07,
305,6,3,.07,
305,6A,1,.06,.0812174
305,6A,2,.08,.0711333
305,6A,3,.05,.0524231
305,6B,1,.06,.1068958
305,6B,2,.09,.0935862
305,6B,3,.08,.0463243
305,7,1,.23,.1633889
305,7,2,.13,.1304706
305,7,3,.16,.0573478
306,6,1,.19,.1092187
306,6,2,.27,.1092187
306,6,3,.12,.1092187
306,7,1,.23,.1405385
306,7,2,.26,.1405385
306,7,3,.3,.1405385
307,16,1,.48,
307,16,2,.48,
307,16,3,.48,
307,6,1,.14,.199
307,6,2,.1,.2463333
307,6,3,.15,.235
307,7,1,.24,.31132
307,7,2,.2,.3224
307,7,3,.18,.2603333
308,10,1,.17,.772
308,10,2,.17,.37325
308,10,3,.17,.284
308,16,1,.41,
308,16,2,.42,
308,16,3,.39,
308,6,1,.14,.183875
308,6,2,.12,.1861
308,6,3,.15,.1525333
308,7,1,.24,.2883261
308,7,2,.24,.212
308,7,3,.27,.2406829
311,10,1,.05,.2410625
311,10,2,.05,.1976111
311,10,3,.05,.1885
311,16,1,.31,.31
311,16,2,.36,.3555
311,16,3,.32,.3229167
311,21,1,.93,.9340000000000001
311,21,2,.93,.9340000000000001
311,21,3,.93,.9340000000000001
311,4,1,4.08,4.32574
311,4,2,4.08,4.32574
311,4,3,4.08,4.32574
311,5,1,,15.70593
311,5,2,,15.70593
311,5,3,,15.70593
311,6,1,.11,.1050625
311,6,2,.11,.1050625
311,6,3,.11,.1050625
311,6A,1,.09,.1202188
311,6A,2,.09,.0925714
311,6A,3,.08,.1497556
311,6B,1,.13,.20565
311,6B,2,.11,.1223684
311,6B,3,.12,.1761163
311,7,1,.25,.2790323
311,7,2,.17,.167
311,7,3,.22,.2168372
312,10,1,.05,.2410625
312,10,2,.05,.1976111
312,10,3,.05,.1885
312,16,1,.31,.31
312,16,2,.36,.3555
312,16,3,.32,.3229167
312,21,1,.93,.9340000000000001
312,21,2,.93,.9340000000000001
312,21,3,.93,.9340000000000001
312,4,1,4.08,4.32574
312,4,2,4.08,4.32574
312,4,3,4.08,4.32574
312,5,1,,15.70593
312,5,2,,15.70593
312,5,3,,15.70593
312,6,1,.11,.1050625
312,6,2,.11,.1050625
312,6,3,.11,.1050625
312,6A,1,.09,.1202188
312,6A,2,.09,.0925714
312,6A,3,.08,.1497556
312,6B,1,.13,.20565
312,6B,2,.11,.1223684
312,6B,3,.12,.1761163
312,7,1,.25,.2790323
312,7,2,.17,.167
312,7,3,.22,.2168372
401,10,1,.8,.7802237
401,10,2,.8,.7802237
401,10,3,.8,.7802237
401,8,1,.25,
401,8,2,.31,
401,8,3,.29,
401,8A,1,.1,.1590317
401,8A,2,.14,.1168409
401,8A,3,.13,.1043023
401,8B,1,.25,.3560312
401,8B,2,.31,.1706875
401,8B,3,.29,.2257105
401,8C,1,.46,.6555484
401,8C,2,.55,.2497273
401,8C,3,.55,.4356571
401,9,1,.06,
401,9,2,.08,
401,9,3,.09,
401,9A,1,.04,.0403944
401,9A,2,.05,.0344179
401,9A,3,.03,.0406059
401,9B,1,.06,.0572537
401,9B,2,.08,.0598548
401,9B,3,.09,.0575758
401,9C,1,.14,.0899844
401,9C,2,.13,.1116038
401,9C,3,.14,.0962603
402,10,1,,.1262857
402,10,2,,.1262857
402,10,3,,.1262857
402,9,1,1.19,
402,9,2,1.79,
402,9,3,1.22,
402,9A,1,.8,.9923466
402,9A,2,1.09,.7427222
402,9A,3,.86,.9809125
402,9B,1,1.19,1.504493
402,9B,2,1.79,1.206559
402,9B,3,1.22,1.625935
402,9C,1,1.95,2.066439
402,9C,2,2.48,1.881218
402,9C,3,1.75,2.088875
403,10,1,.35,.4707895
403,10,2,.44,.1724
403,10,3,.17,.189125
403,8,1,.35,
403,8,2,.42,
403,8,3,.28,
403,8A,1,.11,.1312329
403,8A,2,.17,.1486216
403,8A,3,.16,.1325783
403,8B,1,.35,.2488
403,8B,2,.42,.264551
403,8B,3,.28,.2190167
403,8C,1,.54,.3180625
403,8C,2,.55,.4436316
403,8C,3,.48,.3685
403,9,1,,.1331429
403,9,2,,.0765
403,9,3,,.1033333
404,10,1,.4,
404,10,2,.28,
404,10,3,.28,
404,10A,1,.14,.0972593
404,10A,2,.11,.1205714
404,10A,3,.09,.070413
404,10B,1,.4,.2161379
404,10B,2,.28,.21025
404,10B,3,.28,.1532326
404,10C,1,.6899999999999999,.4289
